nohup: ignoring input
⚠️  无法导入cldm: No module named 'cldm'

🚀 任务: 移动物体
   筛选任务 'move_object': 2014/6000 个样本
✅ 加载数据集 (move_object): 2014 个样本
   帧设置: 输入前20帧 → 预测第25帧（跳过4帧）
   分辨率: 512x512
   move_object: 2014 个样本
   筛选任务 'move_object': 245/750 个样本
✅ 加载数据集 (move_object): 245 个样本
   帧设置: 输入前20帧 → 预测第25帧（跳过4帧）
   分辨率: 512x512
   move_object: 245 个样本
   筛选任务 'move_object': 241/750 个样本
✅ 加载数据集 (move_object): 241 个样本
   帧设置: 输入前20帧 → 预测第25帧（跳过4帧）
   分辨率: 512x512
   move_object: 241 个样本
✅ 创建任务 'move_object' 数据加载器完成
   训练集: 2014 个样本, 1007 个批次
   验证集: 245 个样本, 123 个批次
   测试集: 241 个样本, 121 个批次
   批次大小: 2
   分辨率: 512x512
   输入帧形状: (20, 3, 512, 512)
   目标帧形状: (3, 512, 512)
🚀 使用设备: cuda
🎯 任务: move_object
📉 学习率: 5e-06 (低LR模式)
📦 等效BatchSize: 32
📦 初始化模型...
🚀 开始极稳模式训练 (LR=5e-06)
Epoch 3 | Batch 890 | Loss: 0.1420
Epoch 3 | Batch 900 | Loss: 0.0053
Epoch 3 | Batch 910 | Loss: 0.0392
Epoch 3 | Batch 920 | Loss: 0.0538
Epoch 3 | Batch 930 | Loss: 0.0574
Epoch 3 | Batch 940 | Loss: 0.0643
Epoch 3 | Batch 950 | Loss: 0.0954
Epoch 3 | Batch 960 | Loss: 0.1874
Epoch 3 | Batch 970 | Loss: 0.1907
Epoch 3 | Batch 980 | Loss: 0.0042
Epoch 3 | Batch 990 | Loss: 0.0471
Epoch 3 | Batch 1000 | Loss: 0.1677
Epoch 3 | Train: 0.1307 | Val: 0.1225
Epoch 4 | Batch 0 | Loss: 0.4833
Epoch 4 | Batch 10 | Loss: 0.0179
Epoch 4 | Batch 20 | Loss: 0.0127
Epoch 4 | Batch 30 | Loss: 0.0285
Epoch 4 | Batch 40 | Loss: 0.0117
Epoch 4 | Batch 50 | Loss: 0.0390
Epoch 4 | Batch 60 | Loss: 0.1813
Epoch 4 | Batch 70 | Loss: 0.0260
Epoch 4 | Batch 80 | Loss: 0.0352
Epoch 4 | Batch 90 | Loss: 0.0626
Epoch 4 | Batch 100 | Loss: 0.0633
Epoch 4 | Batch 110 | Loss: 0.0118
Epoch 4 | Batch 120 | Loss: 0.0139
Epoch 4 | Batch 130 | Loss: 0.2439
Epoch 4 | Batch 140 | Loss: 0.0715
Epoch 4 | Batch 150 | Loss: 0.0636
Epoch 4 | Batch 160 | Loss: 0.0604
Epoch 4 | Batch 170 | Loss: 0.0233
Epoch 4 | Batch 180 | Loss: 0.0530
Epoch 4 | Batch 190 | Loss: 0.0848
Epoch 4 | Batch 200 | Loss: 0.0024
Epoch 4 | Batch 210 | Loss: 0.1827
Epoch 4 | Batch 220 | Loss: 0.0166
Epoch 4 | Batch 230 | Loss: 0.0709
Epoch 4 | Batch 240 | Loss: 0.2529
Epoch 4 | Batch 250 | Loss: 0.0120
Epoch 4 | Batch 260 | Loss: 0.0598
Epoch 4 | Batch 270 | Loss: 0.1990
Epoch 4 | Batch 280 | Loss: 0.2924
Epoch 4 | Batch 290 | Loss: 0.1502
Epoch 4 | Batch 300 | Loss: 0.0232
Epoch 4 | Batch 310 | Loss: 0.0459
Epoch 4 | Batch 320 | Loss: 0.0125
Epoch 4 | Batch 330 | Loss: 0.1266
Epoch 4 | Batch 340 | Loss: 0.1666
Epoch 4 | Batch 350 | Loss: 0.1988
Epoch 4 | Batch 360 | Loss: 0.1993
Epoch 4 | Batch 370 | Loss: 0.1104
Epoch 4 | Batch 380 | Loss: 0.1602
Epoch 4 | Batch 390 | Loss: 0.0103
Epoch 4 | Batch 400 | Loss: 0.2394
Epoch 4 | Batch 410 | Loss: 0.1686
Epoch 4 | Batch 420 | Loss: 0.0042
Epoch 4 | Batch 430 | Loss: 0.2763
Epoch 4 | Batch 440 | Loss: 0.0042
Epoch 4 | Batch 450 | Loss: 0.0121
Epoch 4 | Batch 460 | Loss: 0.0947
Epoch 4 | Batch 470 | Loss: 0.1900
Epoch 4 | Batch 480 | Loss: 0.0286
Epoch 4 | Batch 490 | Loss: 0.3553
Epoch 4 | Batch 500 | Loss: 0.1798
Epoch 4 | Batch 510 | Loss: 0.0159
Epoch 4 | Batch 520 | Loss: 0.1808
Epoch 4 | Batch 530 | Loss: 0.0210
Epoch 4 | Batch 540 | Loss: 0.2202
Epoch 4 | Batch 550 | Loss: 0.0323
Epoch 4 | Batch 560 | Loss: 0.0726
Epoch 4 | Batch 570 | Loss: 0.1281
Epoch 4 | Batch 580 | Loss: 0.1148
Epoch 4 | Batch 590 | Loss: 0.1865
Epoch 4 | Batch 600 | Loss: 0.3972
Epoch 4 | Batch 610 | Loss: 0.0242
Epoch 4 | Batch 620 | Loss: 0.0173
Epoch 4 | Batch 630 | Loss: 0.1036
Epoch 4 | Batch 640 | Loss: 0.0399
Epoch 4 | Batch 650 | Loss: 0.2114
Epoch 4 | Batch 660 | Loss: 0.0739
Epoch 4 | Batch 670 | Loss: 0.1156
Epoch 4 | Batch 680 | Loss: 0.1432
Epoch 4 | Batch 690 | Loss: 0.0983
Epoch 4 | Batch 700 | Loss: 0.0973
Epoch 4 | Batch 710 | Loss: 0.0943
Epoch 4 | Batch 720 | Loss: 0.0600
Epoch 4 | Batch 730 | Loss: 0.0841
Epoch 4 | Batch 740 | Loss: 0.0271
Epoch 4 | Batch 750 | Loss: 0.0383
Epoch 4 | Batch 760 | Loss: 0.0561
Epoch 4 | Batch 770 | Loss: 0.0374
Epoch 4 | Batch 780 | Loss: 0.1656
Epoch 4 | Batch 790 | Loss: 0.0729
Epoch 4 | Batch 800 | Loss: 0.0116
Epoch 4 | Batch 810 | Loss: 0.0270
Epoch 4 | Batch 820 | Loss: 0.0515
Epoch 4 | Batch 830 | Loss: 0.0527
Epoch 4 | Batch 840 | Loss: 0.0632
Epoch 4 | Batch 850 | Loss: 0.0029
Epoch 4 | Batch 860 | Loss: 0.0175
Epoch 4 | Batch 870 | Loss: 0.0693
Epoch 4 | Batch 880 | Loss: 0.2345
Epoch 4 | Batch 890 | Loss: 0.0748
Epoch 4 | Batch 900 | Loss: 0.0901
Epoch 4 | Batch 910 | Loss: 0.0055
Epoch 4 | Batch 920 | Loss: 0.0292
Epoch 4 | Batch 930 | Loss: 0.0391
Epoch 4 | Batch 940 | Loss: 0.2637
Epoch 4 | Batch 950 | Loss: 0.3991
Epoch 4 | Batch 960 | Loss: 0.0364
Epoch 4 | Batch 970 | Loss: 0.1363
Epoch 4 | Batch 980 | Loss: 0.2028
Epoch 4 | Batch 990 | Loss: 0.0072
Epoch 4 | Batch 1000 | Loss: 0.3886
Epoch 4 | Train: 0.1309 | Val: 0.1283
Epoch 5 | Batch 0 | Loss: 0.0238
Epoch 5 | Batch 10 | Loss: 0.0607
Epoch 5 | Batch 20 | Loss: 0.1646
Epoch 5 | Batch 30 | Loss: 0.2768
Epoch 5 | Batch 40 | Loss: 0.3689
Epoch 5 | Batch 50 | Loss: 0.2219
Epoch 5 | Batch 60 | Loss: 0.0691
Epoch 5 | Batch 70 | Loss: 0.1643
Epoch 5 | Batch 80 | Loss: 0.1955
Epoch 5 | Batch 90 | Loss: 0.1115
Epoch 5 | Batch 100 | Loss: 0.0297
Epoch 5 | Batch 110 | Loss: 0.1710
Epoch 5 | Batch 120 | Loss: 0.3058
Epoch 5 | Batch 130 | Loss: 0.1411
Epoch 5 | Batch 140 | Loss: 0.2548
Epoch 5 | Batch 150 | Loss: 0.2057
Epoch 5 | Batch 160 | Loss: 0.0057
Epoch 5 | Batch 170 | Loss: 0.1587
Epoch 5 | Batch 180 | Loss: 0.0082
Epoch 5 | Batch 190 | Loss: 0.1437
Epoch 5 | Batch 200 | Loss: 0.3510
Epoch 5 | Batch 210 | Loss: 0.4278
Epoch 5 | Batch 220 | Loss: 0.0436
Epoch 5 | Batch 230 | Loss: 0.2775
Epoch 5 | Batch 240 | Loss: 0.0678
Epoch 5 | Batch 250 | Loss: 0.0395
Epoch 5 | Batch 260 | Loss: 0.1245
Epoch 5 | Batch 270 | Loss: 0.0983
Epoch 5 | Batch 280 | Loss: 0.0715
Epoch 5 | Batch 290 | Loss: 0.4210
Epoch 5 | Batch 300 | Loss: 0.0818
Epoch 5 | Batch 310 | Loss: 0.0271
Epoch 5 | Batch 320 | Loss: 0.1464
Epoch 5 | Batch 330 | Loss: 0.1050
Epoch 5 | Batch 340 | Loss: 0.0184
Epoch 5 | Batch 350 | Loss: 0.0550
Epoch 5 | Batch 360 | Loss: 0.1123
Epoch 5 | Batch 370 | Loss: 0.0610
Epoch 5 | Batch 380 | Loss: 0.0106
Epoch 5 | Batch 390 | Loss: 0.0395
Epoch 5 | Batch 400 | Loss: 0.1233
Epoch 5 | Batch 410 | Loss: 0.1775
Epoch 5 | Batch 420 | Loss: 0.0566
Epoch 5 | Batch 430 | Loss: 0.1920
Epoch 5 | Batch 440 | Loss: 0.0328
Epoch 5 | Batch 450 | Loss: 0.2004
Epoch 5 | Batch 460 | Loss: 0.0319
Epoch 5 | Batch 470 | Loss: 0.3271
Epoch 5 | Batch 480 | Loss: 0.0181
Epoch 5 | Batch 490 | Loss: 0.3248
Epoch 5 | Batch 500 | Loss: 0.4676
Epoch 5 | Batch 510 | Loss: 0.0126
